番号,断層名,長さ(km),断層型,断層面の長さ(km),平均変位速度[m/千年],変位の向き,一般走向,過去の活動時期,水平歪速度,西(北)端(緯度),西(北)端(経度),東(南)端(緯度),東(南)端(経度)
1,宍道（鹿島）断層,21,右横ずれ,21,0.5,東西,N 80°E,,,35.30.9,132.58.2,35.32.5,133.11.6
2,雨滝－釜戸断層,13,左横ずれ,-,0.05,北西〜南東,N 45°W,約７千６百年前以降、約３千７百年前以前,,35.31.4,134.17.1,35.26.5,134.23.1
3,鹿野－吉岡断層,26,横ずれ,26,0.45,東西,N 71°E,,,35.30.7,134.17.9,35.26.2,134.01.4
4,日南湖断層,13,横ずれ,-,-,北西〜南東,N 33°W,約9万年以降、2万８千年以前,,35.15.2,133.17.7,35.09.5,133.22.3
5,岩坪断層,10,右横ずれ,-,-,東西,N 88°E,-,,35.24.3,134.02.6,35.24.5,134.9.0
6ー1,那岐山断層帯,32,逆,32,0.075,東西,N 82°E,,,35.06.9,133.53.1,35.09.1,134.13.7
6ー2,山崎断層帯（主部北西部区間）,51,左横ずれ,51,1,西北西〜東南東,N 57°W,,,35.08.4,134.16.0,34.53.2,134.43.8
6ー3,山崎断層帯（主部南東部区間）,31,左横ずれ,31,0.8,西北西〜東南東,N 51°W,,,34.57.5,134.45.2,34.47.0,135.00.8
6ー4,草谷断層,13,右横ずれ,13,0.2,北東〜南西,N 52°E,,,34.43.7,134.53.1,34.47.3,135.00.1
7,長者ヶ原－芳井断層,30,横ずれ,-,-,北東〜南西,N 45°E,-,,34.39.8,133.28.7,34.28.4,133.14.9
8,宇津戸断層,12,右横ずれ,-,-,北東〜南西,N 40°E,-,,34.31.3,133.05.6,34.36.2,133.10.5
9,安田断層,5,右横ずれ,-,-,北東〜南西,N 49°E,-,,34.42.9,133.00.1,34.44.5,133.02.3
10ー1,菊川断層帯（北部区間）,53,左横ずれ(逆),53,0.21(上下),北西〜南東,N 54°W,約1万４千年前以後,,34.38.9,130.14.7,34.21.2,130.43.8
10ー2,菊川断層帯（中部区間）,43,左横ずれ,43,0.85,北西〜南東,N 48°W,５千９百年前以後、約３千３百年以前,,34.21.4,130.43.9,34.05.4,131.04.5
10ー3,菊川断層帯（南部区間）,18,左横ずれ,18,-,北西〜南東,N 32°W,　-,,34.05.2,131.04.7,33.56.4,131.11.0
11ー1,岩国－五日市断層帯（己斐断層区間）,23,右横ずれ,23,-,北東〜南西,N 40°E,約2万３千年以前,,34.29.6,132.30.4,34.19.9,132.20.8
11ー2,岩国－五日市断層帯（五日市断層区間）,27,右横ずれ,27,-,北東〜南西,N 26°E,７世紀以後１２世紀以前,,34.30.2,132.25.0,34.17.4,132.17.2
11ー3,岩国－五日市断層帯（岩国断層区間）,46,右横ずれ,46,0.45,北東〜南西,N 56°E,,,34.16.2,132.16.3,34.02.4,131.51.5
12ー1,周防灘断層帯（周防灘断層帯主部区間）,44,右横ずれ(逆),43,0.2(上下),北北東〜南南西,N 30°E,約1万１千年前以後、1万年前以前,,34.00.6,131.38.4,33.402,131.22.9
12ー2,周防灘断層帯（秋穂沖断層区間）,23,右横ずれ(逆),23,0.1(上下),北東〜南西,N 38°E,-,,33.55.5,131.31.7,33.45.6,131.22.4
13ー1,安芸灘断層帯,26,右横ずれ(逆),26,0.1(上下),北東〜南西,N 50°E,約５千６百年前以後、約３千６百年前以前,,33.58.1,132.12.0,34.07.2,132.25.2
13ー2,広島湾－岩国沖断層帯,38,右横ずれ(逆),38,0.2(上下),北北東〜南南西,N 28°E,-,,34.20.0,132.22.0,34.02.0,132.11.0
14,宇部南方沖断層,15,左横ずれ(逆),15,0.1(上下),北北西〜南南東,N 10°W,-,,33.52.7,131.17.0,33.44.9,131.18.6
15ー1,弥栄断層,53,右横ずれ,53,0.8,北東〜南西,N 47°E,,,34.46.7,132.12.0,34.27.0,131.46.4
15ー2,地福断層,27,右横ずれ,27,-,北東〜南西,N 48°E,-,,34.24.1,131.43.6,34.14.4,131.30.4
16ー1,大原湖断層,42,右横ずれ,42,-,北東〜南西,N 52°E,-,,34.24.3,131.49.5,34.10.3,131.27.6
16ー2,小郡断層,31,右横ずれ,31,-,北北東〜南南西,N 27°E,約５百年前以後、約３百年以前,,34.09.2,131.26.2,33.54.4,131.16.9
17,筒賀断層,58,右横ずれ,58,-,北東〜南西,N 48°E,-,,34.45.3,132.30.0,34.24.5,132.01.8
18,滝部断層,6,左横ずれ,-,-,北西〜南東,N 63°W,,,34.18.5,130.55.2,34.17.0,130.58.8
19,奈古断層,13,右横ずれ,-,-,北東〜南西,N 55°E,,,34.33.8,131.35.0,34.29.7,131.28.1
20,栄谷断層,8,右横ずれ,-,-,北東〜南西,N 37°E,,,34.07.3,131.52.3,34.03.9,131.49.2
21,黒瀬断層,5,右横ずれ,-,-,北東〜南西,N 55°E,,,34.22.0,132.43.7,34.20.6,132.41.3
1,小倉東断層,13,右横ずれ(逆),23,0.065(上下),北北東〜南南西,N 6°E,,,33.53.1,130.54.3,33.46.5,130.52.3
2,福智山断層帯,28,右横ずれ(逆),28,0.025(上下),北北西〜南南東,N 15°W,約2万８千年前以後、約１万３千年前以前,,33.55.4,130.44.3,33.40.7,130.49.0
3ー1,西山断層帯　大島沖区間,38,左横ずれ,38,-,北西〜南東,N 38°W,約2万年前以後,,34.11.0,130.09.0,33.55.0,130.24.0
3ー2,西山断層帯　西山区間,43,左横ずれ,43,-,北西〜南東,N 35°W,約1万３千年前以後、約２千年前以前,,33.55.0,130.24.0,33.36.0,130.40.0
3ー3,西山断層帯　嘉麻峠区間,29,左横ずれ,29,-,北西〜南東,N 44°W,-,,33.35.0,130.40.0,33.23.6,130.52.9
3ー4,杷木断層,7,右横ずれ,7,-,北東〜南西,-,,,33.24.9,130.51.0,33.21.8,130.48.1
4,宇美断層,13,左横ずれ(逆),23,0.025(上下),北北西〜南南東,N 26°W,,,33.36.5,130.30.0,33.30.1,130.33.7
5ー1,警固断層帯　北西部,25,左横ずれ,25,-,北西〜南東,N 60°W,2005年,,33.48.0,130.05.0,33.40.0,130.18.0
5ー2,警固断層帯　南東部,27,左横ずれ(逆),27,0.02(上下),北西〜南東,N 50°W,約４千３百年前以後、約３千４百年前以前,,33.39.0,130.19.0,33.28.0,130.32.0
6,日向峠－小笠木峠断層帯,28,左横ずれ,28,-,北西〜南東,N 56°W,,,33.32.6,130.15.4,33.23.9,130.30.0
7,水縄断層帯,26,正,26,0.2,東西,-,,,33.19.0,130.50.0,33.18.0,130.33.0
8,佐賀平野北縁断層帯,22,正,38,0.35,東西,N 89°E,,,33.18.6,130.12.7,33.19.4,130.24.8
9−1,別府湾－日出生断層帯　東部,43,正,43,3,東西,N 85°E,,,33.21.0,131.58.0,33.19.0,131.31.0
9−2,別府湾－日出生断層帯　西部,32,正,32,0.15,東西,E-W,,,33.20.0,131.30.0,33.20.0,131.09.0
9−3,大分平野ー由布院断層帯　東部,27,正,27,3,東西,N 80°W,,,33.15.0,131.43.0,33.18.0,131.26.0
9−4,大分平野ー由布院断層帯　西部,14,正,14,-,東西,N 80°E,,,33.15.0,131.26.0,33.15.0,131.18.0
