番号,断層名,長さ(km),断層型,断層面の長さ(km),平均変位速度[m/千年],変位の向き,一般走向,過去の活動時期
1,宍道（鹿島）断層,21,右横ずれ,21,0.5,東西,N 80°E,
2,雨滝－釜戸断層,13,左横ずれ,-,0.05,北西〜南東,N 45°W,
3,鹿野－吉岡断層,26,横ずれ,26,0.45,東西,N 71°E,
4,日南湖断層,13,横ずれ,-,-,北西〜南東,N 33°W,約9万年以降、2万８千年以前
5,岩坪断層,10,右横ずれ,-,-,東西,N 88°E,-
6ー1,那岐山断層帯,32,逆,32,0.075,東西,N 82°E,
6ー2,山崎断層帯（主部北西部区間）,51,左横ずれ,51,1,西北西〜東南東,N 57°W,
7,長者ヶ原－芳井断層,30,横ずれ,-,-,北東〜南西,N 45°E,-
8,宇津戸断層,12,右横ずれ,-,-,北東〜南西,N 40°E,-
9,安田断層,5,右横ずれ,-,-,北東〜南西,N 49°E,-
10ー1,菊川断層帯（北部区間）,53,左横ずれ,53,0.21,北西〜南東,N 54°W,約1万４千年前以後
10ー2,菊川断層帯（中部区間）,43,左横ずれ,43,0.85,北西〜南東,N 48°W,５千９百年前以後、約３千３百年以前
10ー3,菊川断層帯（南部区間）,18,左横ずれ,18,-,北西〜南東,N 32°W,　-
11ー1,岩国－五日市断層帯（己斐断層区間）,23,右横ずれ,23,-,北東〜南西,N 40°E,約2万３千年以前
11ー2,岩国－五日市断層帯（五日市断層区間）,27,右横ずれ,27,-,北東〜南西,N 26°E,７世紀以後１２世紀以前
11ー3,岩国－五日市断層帯（岩国断層区間）,46,右横ずれ,46,0.45,北東〜南西,N 56°E,
12ー1,周防灘断層帯（周防灘断層帯主部区間）,44,右横ずれ,43,0.2,北北東〜南南西,N 30°E,
12ー2,周防灘断層帯（秋穂沖断層区間）,23,右横ずれ,23,0.1,北東〜南西,N 38°E,
13ー1,安芸灘断層帯,26,右横ずれ,26,0.1,北東〜南西,N 50°E,
13ー2,広島湾－岩国沖断層帯,38,右横ずれ,38,0.2,北北東〜南南西,N 28°E,
14,宇部南方沖断層,15,左横ずれ,15,0.1,北北西〜南南東,N 10°W,
15ー1,弥栄断層,53,右横ずれ,53,0.8,北東〜南西,N 47°E,
15ー2,地福断層,27,右横ずれ,27,-,北東〜南西,N 48°E,
16ー1,大原湖断層,42,右横ずれ,42,-,北東〜南西,N 52°E,-
16ー2,小郡断層,31,右横ずれ,31,-,北北東〜南南西,N 27°E,約５百年前以後、約３百年以前
17,筒賀断層,58,右横ずれ,58,-,北東〜南西,N 48°E,-
18,滝部断層,6,左横ずれ,-,-,北西〜南東,N 63°W,
19,奈古断層,13,右横ずれ,-,-,北東〜南西,N 55°E,
20,栄谷断層,8,右横ずれ,-,-,北東〜南西,N 37°E,
21,黒瀬断層,5,右横ずれ,-,-,北東〜南西,N 55°E,
1,小倉東断層,13,右横ずれ,23,"0.065",北北東〜南南西,N 6°E,
2,福智山断層帯,28,右横ずれ,28,0.025,北北西〜南南東,N 15°W,
3,西山断層帯,38,左横ずれ,38,-,北西〜南東,N 38°W,
4,宇美断層,13,左横ずれ,23,0.025,北北西〜南南東,N 26°W,
5,警固断層帯,55,左横ずれ,55,-,北西〜南東,N 55°W,
6,日向峠－小笠木峠断層帯,28,左横ずれ,28,-,北西〜南東,N 56°W,
7,水縄断層帯,26,正,26,0.2,東西,-,
8,佐賀平野北縁断層帯,22,正,38,0.35,東西,N 79°E,
9,別府－万年山断層帯,76,正,76,"東3 西0.1-0,2",東西,-,
101,雲仙断層群  北部,30,正,30,-,東西,E-W,
102,雲仙断層群  南東部,23,正,23,-,東西,N 80°W,
103,雲仙断層群  南西部　北部,30,正,30,1,東西,E-W,
104,雲仙断層群  南西部　南部,23,正,23,0.3,東西,N 80°E,
111,布田川断層帯　布田川区間,19,右横ずれ,19,0.2,北東〜南西,N 55°E,
112,布田川断層帯　宇土区間,20,南東隆起,20,0.35,北東〜南西,N 62°E,
113,布田川断層帯　宇土半島北岸区間,27,南東隆起,27,-,北東〜南西,N 61°E,
12,日奈久断層帯 ,34,正,34,0.075,東北東〜西南西,N 71°E,
13,人吉盆地南縁断層,22,正,22,0.15,北東〜南西,N 60°E,
14,出水断層帯,20,正,20,0.15,北東〜南西,N 50°E,
15,甑断層帯,17,右横ずれ,17,-,北東〜南西,N 31°E,
161,市来断層帯　市来区間,17,正,25,-,東北東〜西南西,N 86°E,
162,市来断層帯　甑海峡中央区間,38,正,38,-,北東〜南西,N 32°E,
163,市来断層帯　吹上浜西方沖区間,20,正,20,-,北東〜南西,N 43°E,
