,番号,地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度,検索対象最大震度,Unnamed: 9,lat,lon
0,1,25:05.4,熊本県熊本地方,32°45.2′N,130°45.7′E,12km,Ｍ7.3,7,7,,32.75055555555556,130.75194444444443
1,2,26:34.4,熊本県熊本地方,32°44.5′N,130°48.5′E,11km,Ｍ6.5,7,7,,32.734722222222224,130.8013888888889
2,3,46:51.8,大阪湾,34°35.9′N,135°02.1′E,16km,Ｍ7.3,7,4,,34.58583333333333,135.0336111111111
3,4,55:53.0,熊本県阿蘇地方,33°01.5′N,131°11.4′E,11km,Ｍ5.8,６強,６強,,33.018055555555556,131.18444444444444
4,5,03:46.4,熊本県熊本地方,32°42.0′N,130°46.6′E,7km,Ｍ6.4,６強,６強,,32.7,130.76833333333335
5,6,30:17.9,鳥取県西部,35°16.4′N,133°20.9′E,9km,Ｍ7.3,６強,６強,,35.26777777777777,133.33583333333334
6,7,07:22.5,鳥取県中部,35°22.8′N,133°51.3′E,11km,Ｍ6.6,６弱,６弱,,35.36888888888889,133.85083333333333
7,8,48:32.6,熊本県熊本地方,32°50.8′N,130°50.1′E,16km,Ｍ5.4,６弱,６弱,,32.83555555555556,130.8336111111111
8,9,45:55.4,熊本県熊本地方,32°51.7′N,130°53.9′E,11km,Ｍ5.9,６弱,６弱,,32.85194444444445,130.88583333333332
9,10,07:35.2,熊本県熊本地方,32°46.5′N,130°50.9′E,8km,Ｍ5.8,６弱,６弱,,32.768055555555556,130.83583333333334
10,11,33:17.7,淡路島付近,34°25.1′N,134°49.7′E,15km,Ｍ6.3,６弱,５弱,,34.41694444444444,134.8186111111111
11,12,53:40.3,福岡県北西沖,33°44.3′N,130°10.5′E,9km,Ｍ7.0,６弱,６弱,,33.73416666666667,130.16805555555555
12,13,38:27.5,鹿児島県薩摩地方,31°56.9′N,130°18.1′E,9km,Ｍ6.4,６弱,６弱,,31.935833333333335,130.30027777777778
13,14,56:35.4,鹿児島湾,31°23.0′N,130°37.2′E,10km,Ｍ5.3,５強,５強,,31.383333333333333,130.61722222222224
14,15,09:34.3,大分県中部,33°15.4′N,131°22.0′E,7km,Ｍ4.5,５強,５強,,33.25111111111111,131.36666666666667
