,center-point,bbox
0,"(33.700000000000003, 130.69999999999999)","(33.48598835819471, 130.52024572409516, 33.914011641805295, 130.87975427590482)"
1,"(33.700000000000003, 130.87975427590482)","(33.48598835819471, 130.69999999999999, 33.914011641805295, 131.05950855180964)"
2,"(33.700000000000003, 131.05950855180964)","(33.48598835819471, 130.87975427590482, 33.914011641805295, 131.23926282771447)"
3,"(33.700000000000003, 131.23926282771447)","(33.48598835819471, 131.05950855180964, 33.914011641805295, 131.4190171036193)"
4,"(33.700000000000003, 131.4190171036193)","(33.48598835819471, 131.23926282771447, 33.914011641805295, 131.59877137952412)"
5,"(33.700000000000003, 131.59877137952412)","(33.48598835819471, 131.4190171036193, 33.914011641805295, 131.77852565542895)"
6,"(33.700000000000003, 131.77852565542895)","(33.48598835819471, 131.59877137952412, 33.914011641805295, 131.95827993133378)"
7,"(33.700000000000003, 131.95827993133378)","(33.48598835819471, 131.77852565542895, 33.914011641805295, 132.1380342072386)"
8,"(33.700000000000003, 132.1380342072386)","(33.48598835819471, 131.95827993133378, 33.914011641805295, 132.31778848314343)"
9,"(33.700000000000003, 132.31778848314343)","(33.48598835819471, 132.1380342072386, 33.914011641805295, 132.49754275904826)"
10,"(33.700000000000003, 132.49754275904826)","(33.48598835819471, 132.31778848314343, 33.914011641805295, 132.67729703495309)"
11,"(33.700000000000003, 132.67729703495309)","(33.48598835819471, 132.49754275904826, 33.914011641805295, 132.85705131085791)"
12,"(33.700000000000003, 132.85705131085791)","(33.48598835819471, 132.67729703495309, 33.914011641805295, 133.03680558676274)"
13,"(33.700000000000003, 133.03680558676274)","(33.48598835819471, 132.85705131085791, 33.914011641805295, 133.21655986266757)"
14,"(33.700000000000003, 133.21655986266757)","(33.48598835819471, 133.03680558676274, 33.914011641805295, 133.39631413857239)"
15,"(33.700000000000003, 133.39631413857239)","(33.48598835819471, 133.21655986266757, 33.914011641805295, 133.57606841447722)"
