,名前,断層の長さ(km),断層型,傾斜(°),断層面の長さ(km),平均変位速度(調整後)[m/千年],西(北)端(緯度),西(北)端(経度),東(南)端(緯度),東(南)端(経度),歪速度
0,宍道（鹿島）断層,21,右横ずれ,,21,0.5,35.30.9,132.58.2,35.32.5,133.11.6,6.698729810778067e-08
1,雨滝－釜戸断層,13,左横ずれ,,-,0.05,35.31.4,134.17.1,35.26.5,134.23.1,6.698729810778067e-08
2,鹿野－吉岡断層,26,横ずれ,,26,0.45,35.30.7,134.17.9,35.26.2,134.01.4,6.698729810778067e-08
3,日南湖断層,13,横ずれ,,-,-,35.15.2,133.17.7,35.09.5,133.22.3,6.698729810778067e-08
4,岩坪断層,10,右横ずれ,,-,-,35.24.3,134.02.6,35.24.5,134.9.0,6.698729810778067e-08
5,那岐山断層帯,32,逆,45.0,32,0.075,35.06.9,133.53.1,35.09.1,134.13.7,6.698729810778067e-08
6,山崎断層帯（主部北西部区間）,51,左横ずれ,,51,1,35.08.4,134.16.0,34.53.2,134.43.8,6.698729810778067e-08
7,山崎断層帯（主部南東部区間）,31,左横ずれ,,31,0.8,34.57.5,134.45.2,34.47.0,135.00.8,6.698729810778067e-08
8,草谷断層,13,右横ずれ,,13,0.2,34.43.7,134.53.1,34.47.3,135.001,6.698729810778067e-08
9,長者ヶ原－芳井断層,30,横ずれ,,-,-,34.39.8,133.28.7,34.28.4,133.14.9,6.698729810778067e-08
10,宇津戸断層,12,右横ずれ,,-,-,34.31.3,133.05.6,34.36.2,133.10.5,6.698729810778067e-08
11,安田断層,5,右横ずれ,,-,-,34.42.9,133.00.1,34.44.5,133.02.3,6.698729810778067e-08
12,菊川断層帯（北部区間）,53,左横ずれ,,53,0.3,34.38.9,130.14.7,34.21.2,130.43.8,6.698729810778067e-08
13,菊川断層帯（中部区間）,43,左横ずれ,,43,0.85,34.21.4,130.43.9,34.05.4,131.04.5,6.698729810778067e-08
14,菊川断層帯（南部区間）,18,左横ずれ,,18,-,34.05.2,131.04.7,33.56.4,131.11.0,6.698729810778067e-08
15,岩国－五日市断層帯（己斐断層区間）,23,右横ずれ,,23,-,34.29.6,132.30.4,34.19.9,132.20.8,6.698729810778067e-08
16,岩国－五日市断層帯（五日市断層区間）,27,右横ずれ,,27,-,34.30.2,132.25.0,34.17.4,132.17.2,6.698729810778067e-08
17,岩国－五日市断層帯（岩国断層区間）,46,右横ずれ,,46,0.45,34.16.2,132.16.3,34.02.4,131.51.5,6.698729810778067e-08
18,周防灘断層帯（周防灘断層帯主部区間）,44,右横ずれ,,43,0.2,34.00.6,131.38.4,33.402,131.22.9,6.698729810778067e-08
19,周防灘断層帯（秋穂沖断層区間）,23,右横ずれ,,23,0.1,33.55.5,131.31.7,33.45.6,131.22.4,6.698729810778067e-08
20,安芸灘断層帯,26,右横ずれ,,26,0.1,33.58.1,132.12.0,34.07.2,132.25.2,6.698729810778067e-08
21,広島湾－岩国沖断層帯,38,右横ずれ,,38,0.2,34.20.0,132.22.0,34.02.0,132.11.0,6.698729810778067e-08
22,宇部南方沖断層,15,左横ずれ,,15,0.1,33.52.7,131.17.0,33.44.9,131.18.6,6.698729810778067e-08
23,弥栄断層,53,右横ずれ,,53,0.8,34.46.7,132.12.0,34.27.0,131.46.4,6.698729810778067e-08
24,地福断層,27,右横ずれ,,27,-,34.24.1,131.43.6,34.14.4,131.30.4,6.698729810778067e-08
25,大原湖断層,42,右横ずれ,,42,-,34.24.3,131.49.5,34.10.3,131.27.6,6.698729810778067e-08
26,小郡断層,31,右横ずれ,,31,-,34.09.2,131.26.2,33.54.4,131.16.9,6.698729810778067e-08
27,筒賀断層,58,右横ずれ,,58,-,34.45.3,132.30.0,34.24.5,132.01.8,6.698729810778067e-08
28,滝部断層,6,左横ずれ,,-,-,34.18.5,130.55.2,34.17.0,130.58.8,6.698729810778067e-08
29,奈古断層,13,右横ずれ,,-,-,34.33.8,131.35.0,34.29.7,131.28.1,6.698729810778067e-08
30,栄谷断層,8,右横ずれ,,-,-,34.07.3,131.52.3,34.03.9,131.49.2,6.698729810778067e-08
31,黒瀬断層,5,右横ずれ,,-,-,34.22.0,132.43.7,34.20.6,132.41.3,6.698729810778067e-08
32,小倉東断層,13,右横ずれ,,23,0.65,33.53.1,130.54.3,33.46.5,130.52.3,6.698729810778067e-08
33,福智山断層帯,28,右横ずれ,,28,0.025,33.55.4,130.44.3,33.40.7,130.49.0,6.698729810778067e-08
34,西山断層帯　大島沖区間,38,左横ずれ,,38,-,34.11.0,130.09.0,33.55.0,130.24.0,6.698729810778067e-08
35,西山断層帯　西山区間,43,左横ずれ,,43,-,33.55.0,130.24.0,33.36.0,130.40.0,6.698729810778067e-08
36,西山断層帯　嘉麻峠区間,29,左横ずれ,,29,-,33.35.0,130.40.0,33.23.6,130.52.9,6.698729810778067e-08
37,杷木断層,7,右横ずれ,,7,-,33.24.9,130.51.0,33.21.8,130.48.1,6.698729810778067e-08
38,宇美断層,13,左横ずれ,,23,0.025,33.36.5,130.30.0,33.30.1,130.33.7,6.698729810778067e-08
39,警固断層帯　北西部,25,左横ずれ,,25,-,33.48.0,130.05.0,33.40.0,130.18.0,6.698729810778067e-08
40,警固断層帯　南東部,27,左横ずれ,,27,0.02,33.39.0,130.19.0,33.28.0,130.32.0,6.698729810778067e-08
41,日向峠－小笠木峠断層帯,28,左横ずれ,,28,-,33.32.6,130.15.4,33.23.9,130.30.0,6.698729810778067e-08
42,水縄断層帯,26,正,75.0,26,0.2,33.19.0,130.50.0,33.18.0,130.33.0,6.698729810778067e-08
43,佐賀平野北縁断層帯,22,正,70.0,38,0.35,33.18.6,130.12.7,33.19.4,130.24.8,6.698729810778067e-08
44,別府湾－日出生断層帯　東部,43,正,75.0,43,3,33.21.0,131.58.0,33.19.0,131.31.0,6.698729810778067e-08
45,別府湾－日出生断層帯　西部,32,正,75.0,32,0.15,33.20.0,131.30.0,33.20.0,131.09.0,6.698729810778067e-08
46,大分平野ー由布院断層帯　東部,27,正,75.0,27,3,33.15.0,131.43.0,33.18.0,131.26.0,6.698729810778067e-08
47,大分平野ー由布院断層帯　西部,14,正,75.0,14,-,33.15.0,131.26.0,33.15.0,131.18.0,6.698729810778067e-08
48,野稲岳ー万年山断層帯,30,正,75.0,30,0.6,33.14.0,131.19.0,33.14.0,130.59.0,6.698729810778067e-08
49,崩平山ー亀石山断層帯,34,正,75.0,34,0.25,33.10.0,131.21.0,33.12.0,130.59.0,6.698729810778067e-08
50,雲仙断層群  北部,30,正,75.0,30,-,32.46.0,130.22.0,32.45.0,130.04.0,6.698729810778067e-08
51,雲仙断層群  南東部,23,正,75.0,23,-,32.43.0,130.30.0,32.45.0,130.25.0,6.698729810778067e-08
52,雲仙断層群  南西部　北部,30,正,75.0,30,1,32.43.0,130.17.0,32.42.0,129.57.0,6.698729810778067e-08
53,雲仙断層群  南西部　南部,23,正,75.0,23,0.3,32.40.0,130.07.0,32.37.0,129.53.0,6.698729810778067e-08
54,布田川断層帯　布田川区間,19,右横ずれ,,19,0.2,32.52.0,130.59.0,32.46.0,130.49.0,6.698729810778067e-08
55,布田川断層帯　宇土区間,20,逆,75.0,20,0.35,32.46.0,130.49.0,32.41.0,130.38.0,6.698729810778067e-08
56,布田川断層帯　宇土半島北岸区間,27,逆,75.0,27,-,32.43.0,130.38.0,32.36.0,130.23.0,6.698729810778067e-08
57,日奈久断層帯　高野ー白旗区間,16,右横ずれ,,16,0.21,32.46.0,130.49.0,32.13.0,130.45.0,6.698729810778067e-08
58,日奈久断層帯　日奈久区間,40,右横ずれ,,40,0.7,32.38.0,130.45.0,32.21.0,130.29.0,6.698729810778067e-08
59,日奈久断層帯　八代海区間,30,右横ずれ,,30,-,32.22.0,130.28.0,32.11.0,130.14.0,6.698729810778067e-08
60,緑川断層帯,34,正,85.0,34,0.075,32.41.1,131.08.4,32.35.1,130.48.1,6.698729810778067e-08
61,人吉盆地南縁断層,22,正,75.0,22,0.15,32.16.0,131.00.0,32.09.0,130.48.0,6.698729810778067e-08
62,出水断層帯,20,正,45.0,20,0.15,32.08.0,130.26.0,32.01.0,130.17.0,6.698729810778067e-08
63,甑断層帯,17,右横ずれ,,17,-,32.03.8,130.02.1,31.55.8,129.56.4,6.698729810778067e-08
64,市来断層帯　市来区間,17,正,50.0,25,-,31.43.7,130.11.5,31.44.3,130.22.3,6.698729810778067e-08
65,市来断層帯　甑海峡中央区間,38,正,75.0,38,-,31.45.8,130.08.1,31.28.4,129.55.6,6.698729810778067e-08
66,市来断層帯　吹上浜西方沖区間,20,正,75.0,20,-,31.38.0,130.17.9,31.30.0,130.09.2,6.698729810778067e-08
