ID-NUMBER;WKT
0;LINESTRING(133.185 35.53472222, 132.9672222 35.5025 )
1;LINESTRING(134.3836111 35.43472222, 134.2836111 35.51777778)
2;LINESTRING(134.0177778 35.43388889, 134.2858333 35.50194444)
3;LINESTRING(133.3675 35.15138889, 133.2852778 35.25055556)
4;LINESTRING(134.15 35.40138889, 134.035 35.40083333)
5;LINESTRING(134.2186111 35.15027778, 133.8836111 35.1025)
6;LINESTRING(134.7188889 34.88388889, 134.2666667 35.13444444)
7;LINESTRING(135.0022222 34.78333333, 134.7505556 34.95138889)
8;LINESTRING(135.0002778 34.78416667, 134.8836111 34.71861111)
9;LINESTRING(133.2358333 34.46777778, 133.4686111 34.65222222)
10;LINESTRING(133.1680556 34.60055556, 133.085 34.5175)
11;LINESTRING(133.0341667 34.73472222, 133.0002778 34.7025)
12;LINESTRING(130.7188889 34.35055556, 130.2352778 34.63583333)
13;LINESTRING(131.0680556 34.08444444, 130.7191667 34.35111111)
14;LINESTRING(131.1833333 33.93444444, 131.0686111 34.08388889)
15;LINESTRING(132.3355556 34.31916667, 132.5011111 34.485)
16;LINESTRING(132.2838889 34.28444444, 132.4166667 34.50055556)
17;LINESTRING(131.8513889 34.03444444, 132.2675 34.26722222)
18;LINESTRING(131.3691667 33.66722222, 131.6344444 34.00166667)
19;LINESTRING(131.3677778 33.75166667, 131.5186111 33.91805556)
20;LINESTRING(132.4172222 34.11722222, 132.2 33.96694444)
21;LINESTRING(132.1833333 34.03333333, 132.3666667 34.33333333)
22;LINESTRING(131.3016667 33.73583333, 131.2833333 33.86861111)
23;LINESTRING(131.7677778 34.45, 132.2 34.76861111)
24;LINESTRING(131.5011111 34.23444444, 131.7183333 34.40027778)
25;LINESTRING(131.4516667 34.1675, 131.8180556 34.40083333)
26;LINESTRING(131.2691667 33.90111111, 131.4338889 34.15055556)
27;LINESTRING(132.0188889 34.40138889, 132.5 34.75083333)
28;LINESTRING(130.9688889 34.28333333, 130.9172222 34.30138889)
29;LINESTRING(131.4669444 34.48527778, 131.5833333 34.55222222)
30;LINESTRING(131.8172222 34.0525, 131.8675 34.1175)
31;LINESTRING(132.6841667 34.335, 132.7186111 34.36666667)
32;LINESTRING(130.8675 33.76805556, 130.9008333 33.88361111)
33;LINESTRING(130.8166667 33.66861111, 130.7341667 33.91777778)
34;LINESTRING(130.4 33.91666667, 130.15 34.18333333)
35;LINESTRING(130.6666667 33.6, 130.4 33.91666667)
36;LINESTRING(130.8691667 33.385, 130.6666667 33.58333333)
37;LINESTRING(130.8002778 33.35222222, 130.85 33.4025)
38;LINESTRING(130.5519444 33.50027778, 130.5 33.60138889)
39;LINESTRING(130.3 33.66666667, 130.0833333 33.8)
40;LINESTRING(130.5333333 33.46666667, 130.3166667 33.65)
41;LINESTRING(130.5 33.38583333, 130.2511111 33.535)
42;LINESTRING(130.55 33.3, 130.8333333 33.31666667)
43;LINESTRING(130.4022222 33.31777778, 130.2019444 33.30166667)
44;LINESTRING(131.5166667 33.31666667, 131.9666667 33.35)
45;LINESTRING(131.15 33.33333333, 131.5 33.33333333)
46;LINESTRING(131.4333333 33.3, 131.7166667 33.25)
47;LINESTRING(131.3 33.25, 131.4333333 33.25)
48;LINESTRING(130.9833333 33.23333333, 131.3166667 33.23333333)
49;LINESTRING(130.9833333 33.2, 131.35 33.16666667)
50;LINESTRING(130.0666667 32.75, 130.3666667 32.76666667)
51;LINESTRING(130.4166667 32.75, 130.5 32.71666667)
52;LINESTRING(129.95 32.7, 130.2833333 32.71666667)
53;LINESTRING(129.8833333 32.61666667, 130.1166667 32.66666667)
54;LINESTRING(130.8166667 32.76666667, 130.9833333 32.86666667)
55;LINESTRING(130.6333333 32.68333333, 130.8166667 32.76666667)
56;LINESTRING(130.3833333 32.6, 130.6333333 32.71666667)
57;LINESTRING(130.75 32.21666667, 130.8166667 32.76666667)
58;LINESTRING(130.4833333 32.35, 130.75 32.63333333)
59;LINESTRING(130.2333333 32.18333333, 130.4666667 32.36666667)
60;LINESTRING(130.8002778 32.58361111, 131.1344444 32.68361111)
61;LINESTRING(130.8 32.15, 131 32.26666667)
62;LINESTRING(130.2833333 32.01666667, 130.4333333 32.13333333)
63;LINESTRING(129.9344444 31.91888889, 130.0336111 32.05222222)
64;LINESTRING(130.3675 31.73416667, 130.1847222 31.71861111)
65;LINESTRING(129.9183333 31.46777778, 130.1336111 31.75222222)
66;LINESTRING(130.1505556 31.5, 130.2858333 31.63333333)
