ID-NUMBER;NAME;WKT;SPEED;
42;水縄断層帯;LINESTRING(130.55 33.3, 130.8333333 33.31666667);0.2;
43;佐賀平野北縁断層帯;LINESTRING(130.4022222 33.31777778, 130.2019444 33.30166667);0.25;
44;別府湾－日出生断層帯　東部;LINESTRING(131.5166667 33.31666667, 131.9666667 33.35);3;
45;別府湾－日出生断層帯　西部;LINESTRING(131.15 33.33333333, 131.5 33.33333333);0.15;
46;大分平野ー由布院断層帯　東部;LINESTRING(131.4333333 33.3, 131.7166667 33.25);3;
47;大分平野ー由布院断層帯　西部;LINESTRING(131.3 33.25, 131.4333333 33.25);3.3;
48;野稲岳ー万年山断層帯;LINESTRING(130.9833333 33.23333333, 131.3166667 33.23333333);0.6;
49;崩平山ー亀石山断層帯;LINESTRING(130.9833333 33.2, 131.35 33.16666667);0.25;
50;雲仙断層群  北部;LINESTRING(130.0666667 32.75, 130.3666667 32.76666667);0.3;
51;雲仙断層群  南東部;LINESTRING(130.4166667 32.75, 130.5 32.71666667);0.3;
52;雲仙断層群  南西部　北部;LINESTRING(129.95 32.7, 130.2833333 32.71666667);1;
53;雲仙断層群  南西部　南部;LINESTRING(129.8833333 32.61666667, 130.1166667 32.66666667);0.3;
55;布田川断層帯　宇土区間;LINESTRING(130.6333333 32.68333333, 130.8166667 32.76666667);0.35;
56;布田川断層帯　宇土半島北岸区間;LINESTRING(130.3833333 32.6, 130.6333333 32.71666667);0.3;
60;緑川断層帯;LINESTRING(130.8002778 32.58361111, 131.1344444 32.68361111);0.75;
61;人吉盆地南縁断層;LINESTRING(130.8 32.15, 131 32.26666667);0.15;
62;出水断層帯;LINESTRING(130.2833333 32.01666667, 130.4333333 32.13333333);0.15;
64;市来断層帯　市来区間;LINESTRING(130.3675 31.73416667, 130.1847222 31.71861111);0.3;
65;市来断層帯　甑海峡中央区間;LINESTRING(129.9183333 31.46777778, 130.1336111 31.75222222);0.3;
66;市来断層帯　吹上浜西方沖区間;LINESTRING(130.1505556 31.5, 130.2858333 31.63333333);0.3;
